,customer message,admin reply
2,"Port ภรรยา ไป match อีก Broker
Centelh24","Bgrimm24 match กันเอง
ง่วงนอน จะKey 27.28 ไป key 28.28"
4,"Bgrimm24 match กันเอง
ง่วงนอน จะKey 27.28 ไป key 28.28","ทำไปแล้วครับ
ช่วยตรวจสอบดูอีกทีครับ
ของ ภรรยาด้วยครับ"
6,"ทำไปแล้วครับ
ช่วยตรวจสอบดูอีกทีครับ
ของ ภรรยาด้วยครับ",ของผม ได้เลยครับ
9,"มีไปmatch port ภรรยา
PTTGCM25
PTTGCZ24

ครับ",BGRIMZ24  ภรรยาKEY ผิดๆ ถูกๆ มา MATCH กับ ผม 1 CON
11,BGRIMZ24  ภรรยาKEY ผิดๆ ถูกๆ มา MATCH กับ ผม 1 CON,ทำไมSet ลงแรงจังวันนี้
13,ทำไมSet ลงแรงจังวันนี้,"You sent a photo.
ของทีมคุณเดียมีบ้างไหมครับ"
14,ทำไมSet ลงแรงจังวันนี้,"You sent a photo.
ของทีมคุณเดียมีบ้างไหมครับ"
17,"ผม ชนกับ ภรรยา PTTGCZ24
ภรรยา KEY ผิด LONG 25.1 ชน","Account ผม 8328989
ใส่ password เดิม ทุกวัน ตอนนี่ 
ระบบบอกว่า ไม่ถูกต้อง
 ช่วยด่วนครับ
You sent a photo."
19,"Account ผม 8328989
ใส่ password เดิม ทุกวัน ตอนนี่ 
ระบบบอกว่า ไม่ถูกต้อง
 ช่วยด่วนครับ
You sent a photo.",ครับ
20,"Account ผม 8328989
ใส่ password เดิม ทุกวัน ตอนนี่ 
ระบบบอกว่า ไม่ถูกต้อง
 ช่วยด่วนครับ
You sent a photo.",ครับ
22,ครับ,ใช้ MT5 ฟรีครับ
24,ใช้ MT5 ฟรีครับ,ครับ
27,"ภรรยา key เลขผิด ไป match port ผม

BGRIMU24","ชนกับ ภรรยา PTTGCM25 ครับ
PTTGC วิ่งแรง มีปัจจัยอะไรครับ"
29,"ชนกับ ภรรยา PTTGCM25 ครับ
PTTGC วิ่งแรง มีปัจจัยอะไรครับ",เด้งแล้วลง เลยงง 
31,เด้งแล้วลง เลยงง ,"เด้งขายทำกำไร 1 รอบ
ลงมาเก็บของถูกอีกรอบ"
33,"เด้งขายทำกำไร 1 รอบ
ลงมาเก็บของถูกอีกรอบ",พอดีจะไปต่างประเทศครับ
35,พอดีจะไปต่างประเทศครับ,You sent a photo.
38,เปลี่ยนเบอร์ ติดต่อที่รับ otp ของภรรยาครับ,ได้ครับ เบอร์ของผมเอง ไปเที่ยวด้วยกัน
39,เปลี่ยนเบอร์ ติดต่อที่รับ otp ของภรรยาครับ,ได้ครับ เบอร์ของผมเอง ไปเที่ยวด้วยกัน
41,ได้ครับ เบอร์ของผมเอง ไปเที่ยวด้วยกัน,ใช้เบอร์เดียวกับผมไม่ได้ ต้องของใครของมัน
43,ใช้เบอร์เดียวกับผมไม่ได้ ต้องของใครของมัน,You sent a photo.
45,You sent a photo.,ครับ
46,You sent a photo.,ครับ
50,ผมมาต่างประเทศ มันขึ้นอย่างนี้ ช่วย confirm ด้วย,"จะขอยกเลิกการใช้ MT5 ครับ 
ไม่ค่อยได้ใช้ครับ"
51,ผมมาต่างประเทศ มันขึ้นอย่างนี้ ช่วย confirm ด้วย,"จะขอยกเลิกการใช้ MT5 ครับ 
ไม่ค่อยได้ใช้ครับ"
52,ผมมาต่างประเทศ มันขึ้นอย่างนี้ ช่วย confirm ด้วย,"จะขอยกเลิกการใช้ MT5 ครับ 
ไม่ค่อยได้ใช้ครับ"
53,ผมมาต่างประเทศ มันขึ้นอย่างนี้ ช่วย confirm ด้วย,"จะขอยกเลิกการใช้ MT5 ครับ 
ไม่ค่อยได้ใช้ครับ"
54,ผมมาต่างประเทศ มันขึ้นอย่างนี้ ช่วย confirm ด้วย,"จะขอยกเลิกการใช้ MT5 ครับ 
ไม่ค่อยได้ใช้ครับ"
56,"จะขอยกเลิกการใช้ MT5 ครับ 
ไม่ค่อยได้ใช้ครับ",ใหัระบุ อย่างไรครับ
58,ใหัระบุ อย่างไรครับ,ครับ
61,You sent a photo.,You sent a photo.
63,You sent a photo.,จะมีกาตโทรมายืนยันไหมครับ เป็นเบอร์เดิม ก่อนไปต่างประเทศครับ
65,จะมีกาตโทรมายืนยันไหมครับ เป็นเบอร์เดิม ก่อนไปต่างประเทศครับ,You sent a sticker.
68,เพิ่งเห็นว่ามี Missed Call รบกวน ช่วยโทร มาใหม่ด้วยครับ,ขออภัยเปิดเสียงไว้เบามากเลยไม่ได้ยิน
70,ขออภัยเปิดเสียงไว้เบามากเลยไม่ได้ยิน,You sent a sticker.
73,"วันนี้ MT4 เป็นอะไรไหมครับ
กราฟ ไม่update เอง ต้องกด refresh เอง

ไม่เคยเป็น","กราฟ หุ้น ใน Set 100
เพิ่งเป็นวันนี้ครับ
โปรมแกรม MT4 ครับ"
74,"วันนี้ MT4 เป็นอะไรไหมครับ
กราฟ ไม่update เอง ต้องกด refresh เอง

ไม่เคยเป็น","กราฟ หุ้น ใน Set 100
เพิ่งเป็นวันนี้ครับ
โปรมแกรม MT4 ครับ"
76,"กราฟ หุ้น ใน Set 100
เพิ่งเป็นวันนี้ครับ
โปรมแกรม MT4 ครับ","มันไม่เคย delay
ตอนนี้มาขอนแก่น
ฝากถาม Toptrader ให้ด้วย
เช้านี้ก็เป็น"
78,"มันไม่เคย delay
ตอนนี้มาขอนแก่น
ฝากถาม Toptrader ให้ด้วย
เช้านี้ก็เป็น",ขอนแก่น เคยมาใช้ก็ไม่เคย delay
80,ขอนแก่น เคยมาใช้ก็ไม่เคย delay,"True 15Mbps
AIS 15 Mbps
"
82,"True 15Mbps
AIS 15 Mbps
","เอา Xauusd ออกแล้ว
เข้าบัญชีใหม่ วิ่งแล้วครับ"
84,"เอา Xauusd ออกแล้ว
เข้าบัญชีใหม่ วิ่งแล้วครับ",You sent a sticker.
85,"เอา Xauusd ออกแล้ว
เข้าบัญชีใหม่ วิ่งแล้วครับ",You sent a sticker.
88,MT4 ไม่วิ่งอีกแล้วครับ?,เกี่ยวกับ Notebook ไหม เดิมเป็น Intel i7 v.7หรือ8
90,เกี่ยวกับ Notebook ไหม เดิมเป็น Intel i7 v.7หรือ8,Speed test 27 Mbps กราฟ update ได้ตลอด
92,Speed test 27 Mbps กราฟ update ได้ตลอด,"ภรรยา Match บัญชีผม BGRIMU24 1 CON

"
94,"ภรรยา Match บัญชีผม BGRIMU24 1 CON

","PTTGCU25
ภรรยา จะkey 38.79 key ผิด 36.79 เลย match กับ ผม 
"
96,"PTTGCU25
ภรรยา จะkey 38.79 key ผิด 36.79 เลย match กับ ผม 
","ผมเผลอไป Match กับ ภรรยา 1 con

BGRIMZ24 "
98,"ผมเผลอไป Match กับ ภรรยา 1 con

BGRIMZ24 ",ท้ายตลาด ภรรยา คนละBroker กดผิด PTTGCU24 จะกด 38.19 ไปกด 39.19 match กับ ของผม
